label,wire,this_end,far_end,colour,gauge
BAT_GND >GND-1,BAT_GND,BATT-2,GND-1,BK,6 AWG
BAT_GND >BATT-2,BAT_GND,GND-1,BATT-2,BK,6 AWG
BAT_SOL >SOL-1,BAT_SOL,BATT-1,SOL-1,RD,6 AWG
BAT_SOL >BATT-1,BAT_SOL,SOL-1,BATT-1,RD,6 AWG
ENG_GND >GND_ENG-1,ENG_GND,GND-3,GND_ENG-1,BK,6 AWG
ENG_GND >GND-3,ENG_GND,GND_ENG-1,GND-3,BK,6 AWG
SOL_SM >SOL-2,SOL_SM,SM-1,SOL-2,RD,6 AWG
SOL_SM >SM-1,SOL_SM,SOL-2,SM-1,RD,6 AWG
