label,wire,this_end,far_end,colour,gauge
HORN_GND >HORN-2,HORN_GND,SP_GND-1,HORN-2,BK,16 AWG
HORN_PWR >PDM-5,HORN_PWR,K_HORN-1,PDM-5,RD,16 AWG
HORN_PWR >K_HORN-1,HORN_PWR,PDM-5,K_HORN-1,RD,16 AWG
HORN_SW >LH-7,HORN_SW,K_HORN-4,LH-7,YE,16 AWG
HORN_SW >K_HORN-4,HORN_SW,LH-7,K_HORN-4,YE,16 AWG
HOT_F1 >SP_HOT-1,HOT_F1,PDM-14,SP_HOT-1,RD,16 AWG
HOT_F1 >PDM-14,HOT_F1,SP_HOT-1,PDM-14,RD,16 AWG
HOT_F4 >SP_HOT-1,HOT_F4,PDM-15,SP_HOT-1,RD,16 AWG
HOT_F4 >PDM-15,HOT_F4,SP_HOT-1,PDM-15,RD,16 AWG
HOT_F5 >SP_HOT-1,HOT_F5,PDM-16,SP_HOT-1,RD,16 AWG
HOT_F5 >PDM-16,HOT_F5,SP_HOT-1,PDM-16,RD,16 AWG
IGN_FEED >PDM-2,IGN_FEED,IGN-1,PDM-2,RD,16 AWG
IGN_FEED >IGN-1,IGN_FEED,PDM-2,IGN-1,RD,16 AWG
IGN_RET >K_MAIN-3,IGN_RET,IGN-3,K_MAIN-3,GY,16 AWG
IGN_RET >IGN-3,IGN_RET,K_MAIN-3,IGN-3,GY,16 AWG
IND_HB >SP_HI-1,IND_HB,INSTR_6P-5,SP_HI-1,BU,16 AWG
IND_HB >INSTR_6P-5,IND_HB,SP_HI-1,INSTR_6P-5,BU,16 AWG
IND_L >SP_SIG_L-1,IND_L,INSTR_6P-1,SP_SIG_L-1,GN,16 AWG
IND_L >INSTR_6P-1,IND_L,SP_SIG_L-1,INSTR_6P-1,GN,16 AWG
IND_N_FEED >SP_INSTR-1,IND_N_FEED,INSTR_6P-3,SP_INSTR-1,BG,16 AWG
IND_N_FEED >INSTR_6P-3,IND_N_FEED,SP_INSTR-1,INSTR_6P-3,BG,16 AWG
IND_R >SP_SIG_R-1,IND_R,INSTR_6P-2,SP_SIG_R-1,GY,16 AWG
IND_R >INSTR_6P-2,IND_R,SP_SIG_R-1,INSTR_6P-2,GY,16 AWG
INSTR_FEED >SP_INSTR-1,INSTR_FEED,PDM-11,SP_INSTR-1,BG,16 AWG
INSTR_FEED >PDM-11,INSTR_FEED,SP_INSTR-1,PDM-11,BG,16 AWG
KHI_GND >SP_GND-1,KHI_GND,K_HI-4,SP_GND-1,BK,16 AWG
KHI_GND >K_HI-4,KHI_GND,SP_GND-1,K_HI-4,BK,16 AWG
KLO_GND >SP_GND-1,KLO_GND,K_LO-4,SP_GND-1,BK,16 AWG
KLO_GND >K_LO-4,KLO_GND,SP_GND-1,K_LO-4,BK,16 AWG
KMAIN_GND >SP_GND-1,KMAIN_GND,K_MAIN-4,SP_GND-1,BK,16 AWG
KMAIN_GND >K_MAIN-4,KMAIN_GND,SP_GND-1,K_MAIN-4,BK,16 AWG
K_GND >SP_GND-1,K_GND,K_COIL-4,SP_GND-1,BK,16 AWG
K_GND >K_COIL-4,K_GND,SP_GND-1,K_COIL-4,BK,16 AWG
LH_GND >SP_GND-1,LH_GND,LH-8,SP_GND-1,BK,16 AWG
LH_GND >LH-8,LH_GND,SP_GND-1,LH-8,BK,16 AWG
LO_PWR >SP_HEAD-1,LO_PWR,K_LO-1,SP_HEAD-1,BU,16 AWG
LO_PWR >K_LO-1,LO_PWR,SP_HEAD-1,K_LO-1,BU,16 AWG
LO_TRIG >LH-3,LO_TRIG,K_LO-3,LH-3,GN,16 AWG
LO_TRIG >K_LO-3,LO_TRIG,LH-3,K_LO-3,GN,16 AWG
MTR_FEED >SP_MTR-1,MTR_FEED,SP_INSTR-1,SP_MTR-1,BG,16 AWG
MTR_FEED >SP_INSTR-1,MTR_FEED,SP_MTR-1,SP_INSTR-1,BG,16 AWG
MTR_SPD >SP_MTR-1,MTR_SPD,LAMP_SPD-1,SP_MTR-1,BG,16 AWG
MTR_SPD >LAMP_SPD-1,MTR_SPD,SP_MTR-1,LAMP_SPD-1,BG,16 AWG
MTR_TAC >SP_MTR-1,MTR_TAC,LAMP_TAC-1,SP_MTR-1,BG,16 AWG
MTR_TAC >LAMP_TAC-1,MTR_TAC,SP_MTR-1,LAMP_TAC-1,BG,16 AWG
NSW >NSW-1,NSW,INSTR_6P-4,NSW-1,GY,16 AWG
NSW >INSTR_6P-4,NSW,NSW-1,INSTR_6P-4,GY,16 AWG
POD_GND >SP_GND-1,POD_GND,INSTR_6P-6,SP_GND-1,BK,16 AWG
POD_GND >INSTR_6P-6,POD_GND,SP_GND-1,INSTR_6P-6,BK,16 AWG
RH_IN >RH-1,RH_IN,PDM-3,RH-1,YE,16 AWG
RH_IN >PDM-3,RH_IN,RH-1,PDM-3,YE,16 AWG
RH_OUT >SOL-3,RH_OUT,RH-3,SOL-3,YE,16 AWG
RH_OUT >RH-3,RH_OUT,SOL-3,RH-3,YE,16 AWG
RLY_PWR >SP_RLY-1,RLY_PWR,PDM-25,SP_RLY-1,BG,16 AWG
RLY_PWR >PDM-25,RLY_PWR,SP_RLY-1,PDM-25,BG,16 AWG
SIG_FL >SP_SIG_L-1,SIG_FL,SIG_FL-1,SP_SIG_L-1,GN,16 AWG
SIG_FL >SIG_FL-1,SIG_FL,SP_SIG_L-1,SIG_FL-1,GN,16 AWG
SIG_FR >SP_SIG_R-1,SIG_FR,SIG_FR-1,SP_SIG_R-1,GY,16 AWG
SIG_FR >SIG_FR-1,SIG_FR,SP_SIG_R-1,SIG_FR-1,GY,16 AWG
SIG_L >SP_SIG_L-1,SIG_L,LH-5,SP_SIG_L-1,GN,16 AWG
SIG_L >LH-5,SIG_L,SP_SIG_L-1,LH-5,GN,16 AWG
SIG_R >SP_SIG_R-1,SIG_R,LH-6,SP_SIG_R-1,GY,16 AWG
SIG_R >LH-6,SIG_R,SP_SIG_R-1,LH-6,GY,16 AWG
SIG_RL >SP_SIG_L-1,SIG_RL,SIG_RL-1,SP_SIG_L-1,GN,16 AWG
SIG_RL >SIG_RL-1,SIG_RL,SP_SIG_L-1,SIG_RL-1,GN,16 AWG
SIG_RR >SP_SIG_R-1,SIG_RR,SIG_RR-1,SP_SIG_R-1,GY,16 AWG
SIG_RR >SIG_RR-1,SIG_RR,SP_SIG_R-1,SIG_RR-1,GY,16 AWG
SW_BUS >SP_SW-1,SW_BUS,K_MAIN-2,SP_SW-1,BG,16 AWG
SW_BUS >K_MAIN-2,SW_BUS,SP_SW-1,K_MAIN-2,BG,16 AWG
SW_F10 >SP_SW-1,SW_F10,PDM-24,SP_SW-1,BG,16 AWG
SW_F10 >PDM-24,SW_F10,SP_SW-1,PDM-24,BG,16 AWG
SW_F11 >SP_SW-1,SW_F11,PDM-26,SP_SW-1,BG,16 AWG
SW_F11 >PDM-26,SW_F11,SP_SW-1,PDM-26,BG,16 AWG
SW_F2 >SP_SW-1,SW_F2,PDM-17,SP_SW-1,BG,16 AWG
SW_F2 >PDM-17,SW_F2,SP_SW-1,PDM-17,BG,16 AWG
SW_F3 >SP_SW-1,SW_F3,PDM-18,SP_SW-1,BG,16 AWG
SW_F3 >PDM-18,SW_F3,SP_SW-1,PDM-18,BG,16 AWG
SW_F6 >SP_SW-1,SW_F6,PDM-19,SP_SW-1,BG,16 AWG
SW_F6 >PDM-19,SW_F6,SP_SW-1,PDM-19,BG,16 AWG
SW_F7 >SP_SW-1,SW_F7,PDM-20,SP_SW-1,BG,16 AWG
SW_F7 >PDM-20,SW_F7,SP_SW-1,PDM-20,BG,16 AWG
SW_F8 >SP_SW-1,SW_F8,PDM-21,SP_SW-1,BG,16 AWG
SW_F8 >PDM-21,SW_F8,SP_SW-1,PDM-21,BG,16 AWG
SW_F9 >SP_SW-1,SW_F9,PDM-22,SP_SW-1,BG,16 AWG
SW_F9 >PDM-22,SW_F9,SP_SW-1,PDM-22,BG,16 AWG
TAIL_FEED >PDM-7,TAIL_FEED,IGN-4,PDM-7,BG,16 AWG
TAIL_FEED >IGN-4,TAIL_FEED,PDM-7,IGN-4,BG,16 AWG
TAIL_OUT >SP_TAIL-1,TAIL_OUT,IGN-2,SP_TAIL-1,BU,16 AWG
TAIL_OUT >IGN-2,TAIL_OUT,SP_TAIL-1,IGN-2,BU,16 AWG
TAIL_RUN >TAIL-1,TAIL_RUN,SP_TAIL-1,TAIL-1,BU,16 AWG
TAIL_RUN >SP_TAIL-1,TAIL_RUN,TAIL-1,SP_TAIL-1,BU,16 AWG
USB_FEED >USB-1,USB_FEED,PDM-23,USB-1,BG,16 AWG
USB_FEED >PDM-23,USB_FEED,USB-1,PDM-23,BG,16 AWG
USB_GND >USB-2,USB_GND,SP_GND-1,USB-2,BK,16 AWG
USB_GND >SP_GND-1,USB_GND,USB-2,SP_GND-1,BK,16 AWG
YR_OUT >SP_YR-1,YR_OUT,K_COIL-2,SP_YR-1,YE,16 AWG
YR_OUT >K_COIL-2,YR_OUT,SP_YR-1,K_COIL-2,YE,16 AWG
YR_TRIG >RH-2,YR_TRIG,K_COIL-3,RH-2,GY,16 AWG
YR_TRIG >K_COIL-3,YR_TRIG,RH-2,K_COIL-3,GY,16 AWG
